event id,format,event type,link,date
178,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-137779,2024-01-13
179,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-137787,2024-01-13
180,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-137795,2024-01-13
181,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-137803,2024-01-13
182,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-137811,2024-01-13
183,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-137819,2024-01-13
186,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-127779,2024-01-12
187,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-127787,2024-01-12
188,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-127795,2024-01-12
189,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-127803,2024-01-12
190,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-127811,2024-01-12
191,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-127819,2024-01-12
196,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-117779,2024-01-11
197,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-117787,2024-01-11
198,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-117795,2024-01-11
199,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-117803,2024-01-11
200,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-117811,2024-01-11
201,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-117819,2024-01-11
207,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-107779,2024-01-10
208,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-107787,2024-01-10
209,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-107795,2024-01-10
210,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-107803,2024-01-10
211,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-107811,2024-01-10
212,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-107819,2024-01-10
219,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-097779,2024-01-09
220,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-097787,2024-01-09
221,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-097795,2024-01-09
222,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-097803,2024-01-09
223,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-097811,2024-01-09
224,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-097819,2024-01-09
230,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-087779,2024-01-08
231,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-087787,2024-01-08
232,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-087795,2024-01-08
233,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-087803,2024-01-08
234,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-087811,2024-01-08
235,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-087819,2024-01-08
243,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-077779,2024-01-07
244,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-077787,2024-01-07
245,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-077795,2024-01-07
246,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-077803,2024-01-07
247,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-077811,2024-01-07
248,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-077819,2024-01-07
257,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-067779,2024-01-06
258,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-067787,2024-01-06
259,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-067795,2024-01-06
260,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-067803,2024-01-06
261,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-067811,2024-01-06
262,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-067819,2024-01-06
270,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-057779,2024-01-05
271,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-057787,2024-01-05
